index,scenario,economy,mean,std
0,China REE+Graphite shock,Denmark,7.99801911761839,0.9010751426766714
1,China REE+Graphite shock,Finland,7.987970083580982,0.8749464380985267
2,China REE+Graphite shock,France,7.215529166896527,0.8218918716136379
3,China REE+Graphite shock,Germany,8.06352007986388,0.9054309929178685
4,China REE+Graphite shock,Italy,8.358790551144146,0.9038759500724292
5,China REE+Graphite shock,Netherlands,9.232528231939664,0.9534339918350663
6,China REE+Graphite shock,Spain,9.373996371893952,1.009375095008421
7,China REE+Graphite shock,Sweden,7.65251787759454,0.8027425125284078
8,Copper shock (Chile+Peru),Denmark,4.234661281064955,0.6380943765471818
9,Copper shock (Chile+Peru),Finland,4.494653278030031,0.689812084537357
10,Copper shock (Chile+Peru),France,4.078268479009979,0.6672476208582734
11,Copper shock (Chile+Peru),Germany,4.435209407532028,0.6875431997622147
12,Copper shock (Chile+Peru),Italy,4.945079261588674,0.779135690130304
13,Copper shock (Chile+Peru),Netherlands,5.181384173076132,0.8602971854256022
14,Copper shock (Chile+Peru),Spain,5.534070753199461,0.9215059558973472
15,Copper shock (Chile+Peru),Sweden,4.131334896407563,0.6328466027775161
16,Dual shock (China+Russia),Denmark,8.662456465480345,0.9104932760292035
17,Dual shock (China+Russia),Finland,8.674218409766214,0.8814322555977334
18,Dual shock (China+Russia),France,7.82945849166817,0.8615590297431344
19,Dual shock (China+Russia),Germany,8.754969051338652,0.9464876471898244
20,Dual shock (China+Russia),Italy,9.06621173814556,0.9329410236803384
21,Dual shock (China+Russia),Netherlands,10.056921378926985,1.0094569831071805
22,Dual shock (China+Russia),Spain,10.165364254418225,1.0375867126600233
23,Dual shock (China+Russia),Sweden,8.302943337413168,0.8412939371941718
24,Indonesia nickel shock,Denmark,1.6246897003157306,0.32913561460775953
25,Indonesia nickel shock,Finland,1.622228941455123,0.3215038332646628
26,Indonesia nickel shock,France,1.5457404788138167,0.2807349023402423
27,Indonesia nickel shock,Germany,1.8465791065483377,0.3481334662661793
28,Indonesia nickel shock,Italy,1.7694878816273707,0.3415663489211526
29,Indonesia nickel shock,Netherlands,1.9206343032870257,0.3686098310668703
30,Indonesia nickel shock,Spain,1.8350944655592052,0.36460870397013756
31,Indonesia nickel shock,Sweden,1.741129118475201,0.3541892898785409
32,Lithium shock (Chile+Australia),Denmark,4.747157778235123,0.6877174798265524
33,Lithium shock (Chile+Australia),Finland,4.799725593568681,0.6963550768606853
34,Lithium shock (Chile+Australia),France,4.432041327913965,0.6400574929522418
35,Lithium shock (Chile+Australia),Germany,4.9299332433571115,0.7433103570819526
36,Lithium shock (Chile+Australia),Italy,5.152452087855087,0.7766003417618246
37,Lithium shock (Chile+Australia),Netherlands,5.321612138634955,0.8226560689096909
38,Lithium shock (Chile+Australia),Spain,5.59122168726762,0.8899648358379587
39,Lithium shock (Chile+Australia),Sweden,4.738554837695965,0.7062776161076445
