sample,intensity,scenario,loss_mean,loss_sd
baseline_5,0.1,China REE+Graphite shock,3.170258101179777,0.46088953061987226
baseline_5,0.1,Copper shock (Chile+Peru),1.8778039853494335,0.3622366891229881
baseline_5,0.1,Dual shock (China+Russia),3.4772536802873724,0.49402748910781463
baseline_5,0.1,Indonesia nickel shock,0.6653654610575666,0.13494875771162707
baseline_5,0.1,Lithium shock (Chile+Australia),1.9730257297167622,0.33859983828495466
baseline_5,0.2,China REE+Graphite shock,6.611097295902709,0.95341384583257
baseline_5,0.2,Copper shock (Chile+Peru),3.829811000378373,0.7445447418477334
baseline_5,0.2,Dual shock (China+Russia),7.203202291209706,1.0169889843356898
baseline_5,0.2,Indonesia nickel shock,1.3932657491786782,0.2839820506500066
baseline_5,0.2,Lithium shock (Chile+Australia),4.025810394328386,0.6896169302506695
baseline_5,0.3,China REE+Graphite shock,10.374929013029618,1.485867854159449
baseline_5,0.3,Copper shock (Chile+Peru),5.85976551066441,1.1484149005959554
baseline_5,0.3,Dual shock (China+Russia),11.227870810222859,1.576644342109499
baseline_5,0.3,Indonesia nickel shock,2.1930150560101036,0.4497903052245359
baseline_5,0.3,Lithium shock (Chile+Australia),6.169359819621406,1.054379847240594
baseline_5,0.4,China REE+Graphite shock,14.527904844760373,2.06916424347672
baseline_5,0.4,Copper shock (Chile+Peru),7.971630549302986,1.5754657641388574
baseline_5,0.4,Dual shock (China+Russia),15.614915375756054,2.183305227737512
baseline_5,0.4,Indonesia nickel shock,3.075855456832088,0.6358238356708712
baseline_5,0.4,Lithium shock (Chile+Australia),8.417486507692947,1.4345807054700976
baseline_5,0.5,China REE+Graphite shock,19.1544945067691,2.717856491604171
baseline_5,0.5,Copper shock (Chile+Peru),10.169602202448807,2.0274564836921485
baseline_5,0.5,Dual shock (China+Russia),20.446344070120105,2.8508731884059255
baseline_5,0.5,Indonesia nickel shock,4.055482413534381,0.846574506588816
baseline_5,0.5,Lithium shock (Chile+Australia),10.78782448404878,1.8324899471551237
extended_nordic_8,0.1,China REE+Graphite shock,3.0919419999184883,0.4296566379716691
extended_nordic_8,0.1,Copper shock (Chile+Peru),1.797533933923487,0.342421861068394
extended_nordic_8,0.1,Dual shock (China+Russia),3.3892690415450826,0.45755185091983225
extended_nordic_8,0.1,Indonesia nickel shock,0.649264454039339,0.13304934940097266
extended_nordic_8,0.1,Lithium shock (Chile+Australia),1.923915692932609,0.320476420288486
extended_nordic_8,0.2,China REE+Graphite shock,6.445365491918378,0.8891308087947053
extended_nordic_8,0.2,Copper shock (Chile+Peru),3.666725230888635,0.703583807446245
extended_nordic_8,0.2,Dual shock (China+Russia),7.019253013870824,0.942348643055555
extended_nordic_8,0.2,Indonesia nickel shock,1.3584536773652551,0.2802068923326096
extended_nordic_8,0.2,Lithium shock (Chile+Australia),3.928274413872374,0.6528760970450597
extended_nordic_8,0.3,China REE+Graphite shock,10.110488498762647,1.386548575294463
extended_nordic_8,0.3,Copper shock (Chile+Peru),5.611250031282332,1.084899583864947
extended_nordic_8,0.3,Dual shock (China+Russia),10.938009370558255,1.4619843774971326
extended_nordic_8,0.3,Indonesia nickel shock,2.136344195702719,0.4441368878247986
extended_nordic_8,0.3,Lithium shock (Chile+Australia),6.02450496954473,0.9985305579128586
extended_nordic_8,0.4,China REE+Graphite shock,14.150605702801064,1.9326267000654067
extended_nordic_8,0.4,Copper shock (Chile+Peru),7.635006448553848,1.4879095715733268
extended_nordic_8,0.4,Dual shock (China+Russia),15.20660685555739,2.0265787522598346
extended_nordic_8,0.4,Indonesia nickel shock,2.9934959750752683,0.6282333473560335
extended_nordic_8,0.4,Lithium shock (Chile+Australia),8.226970173038193,1.3591535041361773
extended_nordic_8,0.5,China REE+Graphite shock,18.646425469227225,2.541670013621636
extended_nordic_8,0.5,Copper shock (Chile+Peru),9.74213040871889,1.9142943918590685
extended_nordic_8,0.5,Dual shock (China+Russia),19.90360968000857,2.6497943864150066
extended_nordic_8,0.5,Indonesia nickel shock,3.942728925238466,0.8368814974809007
extended_nordic_8,0.5,Lithium shock (Chile+Australia),10.55402643998395,1.7370691256380353
